,statistical_parity_difference,average_abs_odds_difference,equal_opportunity_difference,disparate_impact,theil_index
mitigation_1,-0.29771733114038557,-0.1974393034102559,-0.24327008589343802,0.4304270293591383,0.11948180666920727
mitigation_2,0.2847207161341953,0.1073966444516336,0.1279117825368784,2.1119912058488683,0.11029089719179033
mitigation_3,0.28175134533243096,0.10177868112014726,0.11925190461145752,2.0523869120054576,0.1062467929592892
mitigation_4,0.28425925762531506,0.10367103128102151,0.11386052578076755,2.031153802606379,0.10414232818219038
mitigation_5,0.2816996849200124,0.10054814539576928,0.10683041859857922,1.9901486922555665,0.10232829893452515
mitigation_6,0.2804072261049637,0.09802362765679296,0.10139520622580211,1.9555199101615806,0.0998254190264184
mitigation_7,0.2725308219873068,0.08878922536608275,0.09074394919068374,1.8819702651324521,0.09656095509903276
mitigation_8,0.2798164842155602,0.09603923298131167,0.09237570235541781,1.9044365018762,0.09587089931170963
mitigation_9,0.2686758787784673,0.08383395016048606,0.08197349619929417,1.8328108675794093,0.09343096817132664
mitigation_10,0.2695960164572162,0.0848022418754028,0.08126121949613163,1.8299627121337336,0.09300180903341282
mitigation_11,0.26690788829351236,0.0812745319640501,0.07716986863226938,1.8063645411655964,0.09133877062172922
mitigation_12,0.268753501746572,0.08413588163646796,0.07400496941674295,1.7833250878473754,0.08988754726141698
mitigation_13,0.2626426617067965,0.0769056744377809,0.0669150958974375,1.7574082125642276,0.08853001490668015
mitigation_14,0.2698326352633711,0.0849892408876835,0.07375591853774832,1.7794232982756166,0.08905979835805528
mitigation_15,0.27214674380582393,0.08791899886283755,0.08172143497653805,1.780328546951678,0.08933226269815378
mitigation_16,0.2670843542624914,0.08347249415672392,0.07505792892607743,1.7482246093695688,0.08856072842383651
mitigation_17,0.2605654146112058,0.0771242926762356,0.06651361883188822,1.7120919185464718,0.08728284035309224
mitigation_18,0.26382816008639776,0.08015526563581504,0.0702981349011399,1.72057225153017,0.0869359394039434
mitigation_19,0.2630974586253477,0.07907963834466442,0.0712455121097686,1.724716619835381,0.08732176072623607
mitigation_20,0.25987121954748826,0.07588892873875913,0.06938761604783428,1.702838076187334,0.08634601623335067
mitigation_21,0.2644303060890465,0.07951978801540671,0.06461886441463094,1.7213437725554923,0.0854873403651465
mitigation_22,0.2557550405298214,0.0717753269026919,0.058909710759563305,1.6872927220498568,0.08577465794876936
mitigation_23,0.2624704529793191,0.07850180018719938,0.06640502618742095,1.7048594483613269,0.08548728816730727
mitigation_24,0.2667787372624658,0.08367268127420063,0.06566286631569973,1.7153347366827212,0.08565940385354186
mitigation_25,0.25876649846518723,0.07490662467409803,0.06049763038221012,1.6893457474923852,0.0850734891078135
mitigation_26,0.259120268616498,0.07612101863011689,0.06637712544036367,1.676483557237617,0.08460540346136786
