,acc,prec,rec,f1
mitigation_0,0.8412886414781475,0.8143877076613131,0.7908939161591644,0.8009982015008554
mitigation_1,0.8364325476726282,0.8084132140730228,0.7842503306022359,0.7945517854989097
mitigation_2,0.8197323226341348,0.7909160135858802,0.7543640309108343,0.7683956981613169
mitigation_3,0.8213905010067512,0.7899773260001681,0.7629138361309038,0.7740382888418178
mitigation_4,0.8212720596944214,0.7895888102435255,0.763306197360717,0.7741669565248834
mitigation_5,0.8236408859410163,0.7931673126766106,0.765217572085396,0.7766706254980182
mitigation_6,0.8217458249437404,0.7915148440478059,0.7610227085887123,0.773268605930018
mitigation_7,0.8176003790121995,0.7864917842817906,0.7547621237551205,0.7673131679119372
mitigation_8,0.8166528485135616,0.7842523904309786,0.7557588820353702,0.7672759836871585
mitigation_9,0.8215089423190809,0.7902659369047249,0.7627594895186747,0.7740330307505686
mitigation_10,0.8215089423190809,0.7909143977597636,0.7613314018131708,0.7732827630891125
mitigation_11,0.8225749141300486,0.7921528042402662,0.7630364723316994,0.7748552571335394
mitigation_12,0.8174819376998698,0.7842688010421661,0.7594387481014451,0.7697550252829193
mitigation_13,0.8221011488807296,0.7915167251214562,0.7624637856926966,0.774254069569143
mitigation_14,0.8211536183820917,0.7900826449388152,0.7616754343410665,0.7732398341377859
mitigation_15,0.8234040033163568,0.7935217422841185,0.7635031410603907,0.7756275582081329
mitigation_16,0.8176003790121995,0.7855769992373512,0.7567852480045842,0.7684145273484956
mitigation_17,0.8207982944451024,0.7905194418869914,0.7592822987667465,0.7717449735819015
mitigation_18,0.823759327253346,0.7931895092872607,0.7656582620171268,0.7769739196627905
mitigation_19,0.8219827075683999,0.7912208346627999,0.7626181323049257,0.7742598705934831
mitigation_20,0.8186663508231671,0.7863206480377938,0.7596803916110326,0.7706233868754048
mitigation_21,0.8230486793793675,0.7929579298725532,0.7632521370443264,0.7752697011160046
mitigation_22,0.8231671206916973,0.7927531504936516,0.7641688562112252,0.7758237088632409
mitigation_23,0.8228117967547081,0.7906194232774837,0.7676070787677124,0.7773537342413253
mitigation_24,0.8172450550752103,0.7844263347022588,0.7579623316940238,0.7688255296856626
mitigation_25,0.8219827075683999,0.7910586097910708,0.7629751542313017,0.7744466389634588
mitigation_26,0.8161790832642426,0.783076925495452,0.7564952757930791,0.7673814000783944
mitigation_27,0.8212720596944214,0.7912772358076243,0.7596169707881655,0.7722209175981667
mitigation_28,0.8224564728177188,0.7918011695132761,0.7633098262527207,0.7749227994547878
mitigation_29,0.8230486793793675,0.7911702166647012,0.767298385543254,0.7773515424185398
mitigation_30,0.8230486793793675,0.792677428699339,0.7638471735882864,0.7755806083845018
mitigation_31,0.8247068577519839,0.7942899283607248,0.7671606572215086,0.778355429369972
mitigation_32,0.8228117967547081,0.7929249958917108,0.7623707571808651,0.7746558659959422
mitigation_33,0.8228117967547081,0.7925267388427205,0.7632038083424089,0.7750935863023186
mitigation_34,0.81736349638754,0.7855721426943258,0.7557848608323308,0.7677268351375287
mitigation_35,0.8166528485135616,0.7840018705154257,0.7563539185793302,0.7675974411998462
mitigation_36,0.81736349638754,0.7842278533514484,0.7589980581697144,0.7694486760345169
mitigation_37,0.8206798531327727,0.7893947065585718,0.7612217550108555,0.772701890165741
mitigation_38,0.8217458249437404,0.7903213506014222,0.763640869382136,0.7746422967002952
mitigation_39,0.8161790832642426,0.7822984393633017,0.7585184000425429,0.7684575091054694
mitigation_40,0.8226933554423783,0.7913237451062707,0.7653812792041019,0.7761463074762349
mitigation_41,0.8171266137628805,0.7837752605461086,0.7590687367765888,0.7693381650376179
mitigation_42,0.8219827075683999,0.7911665155263592,0.7627371396137177,0.7743221931824857
mitigation_43,0.8193769986971455,0.7864964425175283,0.7624435385102089,0.7725164432347866
mitigation_44,0.8209167357574322,0.7909411167443041,0.7588899375369333,0.7716079916528191
mitigation_45,0.8199692052587942,0.7879314227701588,0.7615527981402709,0.7724273610925507
mitigation_46,0.8180741442615184,0.7854581536374043,0.759143044275467,0.7699688780488358
mitigation_47,0.8179557029491886,0.7854224804548207,0.7587023543437362,0.7696612675147967
mitigation_48,0.8239962098780055,0.7949414195396213,0.7629694226168287,0.7757241153951209
mitigation_49,0.8211536183820917,0.7891565320077389,0.7638175658993223,0.7743561158270806
mitigation_50,0.8185479095108373,0.7860400897780205,0.759834738223262,0.770630734995913
mitigation_51,0.8225749141300486,0.7919325117553464,0.7635125015668673,0.7751039837967504
mitigation_52,0.8180741442615184,0.7847999022287403,0.7608091465985547,0.7708445450940727
mitigation_53,0.8230486793793675,0.7923489805111723,0.7645612174410383,0.7759515128417946
mitigation_54,0.8172450550752103,0.783909175731609,0.7592714120907356,0.7695188982735168
mitigation_55,0.8213905010067512,0.7904540067943011,0.761842770351776,0.7734776154242494
mitigation_56,0.820087646571124,0.7884195219766345,0.7609224222928737,0.7721710410553995
mitigation_57,0.823285562004027,0.7926653994418914,0.7648475607605398,0.776251443882167
mitigation_58,0.8160606419519129,0.7834317187721377,0.7551025273910126,0.7665566182559889
mitigation_59,0.8224564728177188,0.7920772595598634,0.7627147897087607,0.7746113510277229
mitigation_60,0.8235224446286865,0.7930911246330268,0.7648958894624573,0.77642833419918
mitigation_61,0.8231671206916973,0.7926980628479523,0.7642878635200172,0.7758855507471594
mitigation_62,0.8225749141300486,0.791987215637797,0.7633934942580755,0.7750419016810617
mitigation_63,0.8235224446286865,0.7924498817570713,0.7663239771679611,0.7771626580258691
mitigation_64,0.820561411820443,0.7895304863950642,0.7604240431527488,0.7722056016057373
mitigation_65,0.8202060878834537,0.7890260529762143,0.7600540318278926,0.7717861390420586
mitigation_66,0.8167712898258913,0.7843861441951461,0.755961557349517,0.7674585244314326
mitigation_67,0.8218642662560701,0.7902995820340216,0.7642005666226588,0.7750074771468625
mitigation_68,0.8219827075683999,0.7911665155263592,0.7627371396137177,0.7743221931824857
mitigation_69,0.8215089423190809,0.7906943334611158,0.7618074310483387,0.7735339212202611
mitigation_70,0.8216273836314106,0.7909906362421859,0.7616530844361096,0.7735274533680743
mitigation_71,0.8228117967547081,0.7935154630766685,0.7611806840929451,0.7740248383019956
mitigation_72,0.8228117967547081,0.7923597969986194,0.763560830268785,0.7752801808187514
mitigation_73,0.8216273836314106,0.7895385775680296,0.764985289082285,0.7752593349554759
mitigation_74,0.8183110268861779,0.7861210539169001,0.7585963364334245,0.7698262178936524
mitigation_75,0.8228117967547081,0.7924708437996713,0.7633228156512009,0.7751558509157377
mitigation_76,0.8213905010067512,0.7904000733886455,0.761961777660568,0.7735401787283318
mitigation_77,0.8171266137628805,0.7839601884438485,0.7585927075414209,0.7690866738200952
mitigation_78,0.8222195901930593,0.7909519931831145,0.7642135560211389,0.7752412540512579
mitigation_79,0.8199692052587942,0.7888154180140521,0.7595296738908071,0.7713587320591211
mitigation_80,0.8216273836314106,0.7907175018384758,0.7622481209800694,0.7738405233188779
mitigation_81,0.823285562004027,0.7929395009872878,0.7642525242165799,0.7759429354526997
mitigation_82,0.8213905010067512,0.7899773260001681,0.7629138361309038,0.7740382888418178
mitigation_83,0.8161790832642426,0.7833184240138371,0.7559002392491192,0.767061169229369
mitigation_84,0.8234040033163568,0.7935792770104193,0.7633841337515987,0.7755652025781137
mitigation_85,0.8207982944451024,0.7901239093192772,0.7601153499282904,0.7721902793562156
mitigation_86,0.8202060878834537,0.786715858382886,0.7657663826499079,0.7747441183604171
mitigation_87,0.8162975245765723,0.7834037273623351,0.7562219218720578,0.7673074453465578
mitigation_88,0.8226933554423783,0.7924517716211611,0.7628821257194702,0.7748496635482902
mitigation_89,0.8223380315053891,0.7923431005336905,0.7616790632330701,0.7739903743402543
mitigation_90,0.8198507639464645,0.7889013245661809,0.7588509693414924,0.770921987143999
mitigation_91,0.8224564728177188,0.7905113102128101,0.7662850089725203,0.7764553743190739
mitigation_92,0.8178372616368589,0.7858954484729297,0.7570715913240857,0.7687152877025885
mitigation_93,0.8217458249437404,0.7914014201356767,0.7612607232062962,0.7733948251362225
mitigation_94,0.8192585573848158,0.7878061438864008,0.7587896512410947,0.7705198498271456
mitigation_95,0.8158237593272534,0.7827702861371729,0.7556492352330548,0.7667073355989023
mitigation_96,0.8221011488807296,0.7915720063336734,0.7623447783839046,0.7741915552313386
mitigation_97,0.8224564728177188,0.7915847157766185,0.7637858554878887,0.7751707640171452
