,statistical_parity_difference,average_abs_odds_difference,equal_opportunity_difference,disparate_impact,theil_index
mitigation_0,-0.6024848773674618,-0.38265656594632,-0.3270207633778318,0.2546736614446556,0.11948180666920727
mitigation_1,0.026513528176880935,-0.005324751366680425,0.00899305786879645,1.1144784328681867,0.12499065124119975
mitigation_2,0.0916519172606527,-0.0084112609161055,-0.010894102344548462,1.520783096556278,0.1442802705620981
mitigation_3,0.109466436214571,-0.00979643743803793,-0.017745408335881785,1.6741506338975256,0.13540491294104084
mitigation_4,0.10842592970059076,-0.019224300011943696,-0.03276538192968592,1.66591204034998,0.13632733233803965
mitigation_5,0.12753933990407862,0.034059273300688864,0.04942391271843394,1.759017524961263,0.13531390752255568
mitigation_6,0.11681494821104138,0.02198692334629987,0.03376444669574752,1.6833405311479075,0.13739995279594067
mitigation_7,0.0943888237983124,-0.036114068828541845,-0.05742449559247531,1.5646756139439173,0.14139508992869365
mitigation_8,0.09426756364987007,-0.037709088454582096,-0.059938334304850294,1.5497020520903182,0.1397955277497915
mitigation_9,0.11994458945555181,3.4790377897386815e-05,-0.0025883237373646173,1.774551929200788,0.13563391551427828
mitigation_10,0.1036884259076924,-0.023556476837329088,-0.03822774061967338,1.6379111671277207,0.1386592972465677
mitigation_11,0.12417234538340555,0.030288609878817485,0.044085577718309454,1.7345031464571063,0.13636156586730364
mitigation_12,0.11429127263963998,-0.01189860405202986,-0.023329500380886548,1.7080121694689385,0.13560315311737572
mitigation_13,0.11611189415609685,0.020142475588620534,0.030760798626147223,1.6687497206975923,0.1364097486678312
mitigation_14,0.10923258242658285,0.009683416383906074,0.013905283503242494,1.6113749564916413,0.13666860543497467
mitigation_15,0.12433936391702421,0.007744673165396343,0.009310010503253197,1.840083237796325,0.13627387567263377
mitigation_16,0.10233112296637373,-0.028819783318623893,-0.04946497394197602,1.6210171202921153,0.13902101228148434
mitigation_17,0.10780805673165153,-0.016993693074111527,-0.02872379729845409,1.6808178692982936,0.13904538673489958
mitigation_18,0.1252690011701973,0.006874660929340803,0.006693399749764906,1.8361004695641432,0.1351723054037263
mitigation_19,0.11522543154859874,0.018446535263285047,0.027794473588875546,1.6576760917616513,0.13617771887196722
mitigation_20,0.0993668927396612,-0.031675015554473385,-0.051157995090411634,1.5866090078814157,0.13795009982157788
mitigation_21,0.12547889608838628,0.03328220728645648,0.05024695977079319,1.7502727776476568,0.13630700767458287
mitigation_22,0.12153339017116607,0.026554606928808233,0.0392494486577748,1.7089820104930065,0.13569310883285027
mitigation_23,0.12760804453500568,0.0077336189723249404,0.00737253518490999,1.8270249625434472,0.13249986589662716
mitigation_24,0.103860130933015,-0.02614971195637228,-0.043997056668033996,1.6223779202895496,0.1374297511847938
mitigation_25,0.11653653029787839,-0.0057170539372462525,-0.011220063474087882,1.7418317386844482,0.13544845774329062
mitigation_26,0.1015708517258676,-0.030143685953488764,-0.050080247423688995,1.5991256752667624,0.13714135330374788
mitigation_27,0.11004183104676285,0.01389280075085636,0.0220608796867513,1.6390077782742944,0.13920145677232806
mitigation_28,0.12238020352645862,0.02814307232981872,0.04226051567875533,1.7168870805560064,0.1355968357680829
mitigation_29,0.11888871426529979,0.0025862207995899777,0.0003005555211599287,1.7484484891571974,0.13307572830263348
mitigation_30,0.11928185838404648,0.02271137759523084,0.03345604659375401,1.689196135788387,0.13500709680466993
mitigation_31,0.11940640104244385,0.022607773932955433,0.03324717457797011,1.6880367021483351,0.1346732803800227
mitigation_32,0.11294264502972479,-0.009686719981114922,-0.018569870226828544,1.7373217383099278,0.13912225714138338
mitigation_33,0.11882927932395868,0.02311277994609573,0.03389867264687407,1.6897205632091137,0.13644290693574154
mitigation_34,0.09334162684779118,-0.03803306213756591,-0.059391122595557344,1.5474256886032343,0.14002460278707385
mitigation_35,0.09943341385013332,-0.03391757519637778,-0.056100934990878315,1.5874864377355111,0.13741762763702203
mitigation_36,0.10553192103544456,-0.02422985698907376,-0.040536035249821856,1.6276649168816342,0.1359099215126993
mitigation_37,0.10872561505732486,-0.01799104690883996,-0.030484880219309618,1.6671799105790388,0.13652807688109186
mitigation_38,0.11115486184370788,0.010619063939703466,0.014521855431802289,1.6156194660750558,0.13493543124303123
mitigation_39,0.10032711117580506,-0.03197113370293275,-0.052582968968155175,1.5812473526015265,0.13681335710690684
mitigation_40,0.11609809870616922,0.019326905687402474,0.029360899569541132,1.660577886587231,0.13542483337041278
mitigation_41,0.10539215863153123,-0.02616541180167814,-0.044663716170303625,1.6263130357214335,0.1355830302723905
mitigation_42,0.11467559749809583,-0.007189376455938923,-0.012463086370389176,1.7293368000878895,0.13600309846265363
mitigation_43,0.10952961099174213,-0.021907272920706267,-0.03973189343774586,1.6569022352438516,0.13468849264801735
mitigation_44,0.10207308409573099,0.003206126452674818,0.006187519588885082,1.5756178274150197,0.13990757130201031
mitigation_45,0.10799782451689724,0.0075051454961660435,0.010590838439664352,1.5942455068996504,0.13598820986618482
mitigation_46,0.1047554865521231,-0.02582963715509201,-0.044270662522680526,1.6293245224856765,0.1371402871621426
mitigation_47,0.10137060767523201,-0.031482995942530456,-0.054088480551194085,1.601914272129697,0.1383061890158212
mitigation_48,0.12308316057524049,0.0050304571287360655,0.004001809874935591,1.8459750373831372,0.13724109912311563
mitigation_49,0.13009795435336052,0.03679570895262291,0.054307180654662,1.762096646313594,0.13311047492219513
mitigation_50,0.10164341230008955,-0.029591716026036108,-0.049476091109884934,1.605040445097455,0.13790683974097373
mitigation_51,0.12243275127489625,0.0035378985673110153,0.0014935297465149544,1.8148896142994257,0.13662665203047444
mitigation_52,0.12075530557293823,-0.0011195761146429728,-0.005860476825213512,1.760567087477441,0.1344262326841522
mitigation_53,0.12327260845525295,0.02789099285282365,0.040124656645223244,1.7204523442591992,0.1352625838674727
mitigation_54,0.10793846308494223,-0.024409883440421276,-0.04363735452413764,1.6457355379370917,0.13497689817608813
mitigation_55,0.10707398550380273,-0.01915529148847689,-0.031237636010829073,1.6604434192066453,0.13712683383865235
mitigation_56,0.10334072169595715,-0.027615344000825937,-0.045684519232515264,1.6197844624765911,0.13645984821667553
mitigation_57,0.12406055591638934,0.029619481249840318,0.04303379868800983,1.7307771214861467,0.13575932921594852
mitigation_58,0.09466367058082775,-0.03823125252662074,-0.061460521639752685,1.5524621231695128,0.13946948405706444
mitigation_59,0.12182334070847059,0.027276430373667504,0.03946334273295449,1.726703706275059,0.13718523772693644
mitigation_60,0.1157770468843215,0.019364488971699845,0.029467846607130865,1.665010784230578,0.13615375351894834
mitigation_61,0.125137237946526,0.0319169938146156,0.047464624727753035,1.7426330521239837,0.13583159113709586
mitigation_62,0.12513060078619878,0.03135428204124424,0.04617167270873679,1.7415536164239063,0.1355667049725476
mitigation_63,0.1210438895763897,0.0003280633385573939,-0.002491110280205655,1.7739669615005078,0.1344002372791153
mitigation_64,0.10515325177651724,-0.021694511874546962,-0.036004183513808186,1.6469230580060026,0.138640939498407
mitigation_65,0.10296341387546837,-0.026258825072557168,-0.043119294499583516,1.6269814691735967,0.13798939357221754
mitigation_66,0.09339606903076358,-0.04088004123876021,-0.06542848591461004,1.5393453381074362,0.13883470224932717
mitigation_67,0.1155313127386084,-0.006676702536745072,-0.013221400745863088,1.7334751931186718,0.1365943426500118
mitigation_68,0.12087679623851205,0.02574498989821189,0.03815292764376621,1.7009639339660447,0.1356716700699274
mitigation_69,0.10625947478159908,0.007094097736520311,0.01181918851281527,1.5926440126878816,0.1371661160784853
mitigation_70,0.11081528821894052,0.012978167553048536,0.01959676058906934,1.6325041675590066,0.13746099819727622
mitigation_71,0.11823783699983803,-0.00018522964141692855,-0.002184152921832605,1.7891713840800756,0.13786272792056736
mitigation_72,0.1200434309136317,0.024434505784731886,0.03611157463704784,1.6974056347906823,0.13570518917737942
mitigation_73,0.11443103504355334,-0.01167333926852604,-0.021869816234449613,1.7094922493384959,0.13454524034612458
mitigation_74,0.10429519752334898,-0.024988993439243545,-0.04225264949904195,1.6340120121321682,0.13806660850694508
mitigation_75,0.12266264835464724,0.02815514494497029,0.0415692976855383,1.7218728132655967,0.1358285314404593
mitigation_76,0.11920175588707602,-0.0017018380345054096,-0.005786856468839141,1.7746490130536139,0.13590666811821375
mitigation_77,0.10404693461771228,-0.026595489040702913,-0.04530258275280097,1.6203798476581095,0.1372699134463143
mitigation_78,0.11553338275954972,0.01852159079560256,0.028321561550017527,1.6535564887476488,0.13521062030545938
mitigation_79,0.10759271402164128,-0.018850292868379526,-0.03139735265645349,1.6694137989781246,0.13736804706383948
mitigation_80,0.1156179943979879,-0.008481703698065945,-0.01675604252044971,1.7327251992184265,0.13564985216256858
mitigation_81,0.12112640268458008,0.02575975732105984,0.03789931364427346,1.7053112640725043,0.13558476772185785
mitigation_82,0.11976820640491787,-0.0004039700831016124,-0.003078590842146456,1.7727155246412871,0.13533954978814108
mitigation_83,0.09924729088465528,-0.032881159893583645,-0.05441347242639727,1.583975630164234,0.13838791767904401
mitigation_84,0.11243625358544176,0.01468829002092309,0.021936469578989315,1.641467776635325,0.13683443937603196
mitigation_85,0.11313081015286061,-0.012000740128461806,-0.022930888149308992,1.7201520877613146,0.1372233512145227
mitigation_86,0.1124599434486111,-0.019820285771914303,-0.037091689583473086,1.66831469715516,0.13242867385008816
mitigation_87,0.1018930366441648,-0.02880608600966078,-0.047794187129358234,1.6070313715145705,0.13775627175647792
mitigation_88,0.12006334239461333,0.02470443205705042,0.036390070658092855,1.7004062814141643,0.13616279688302751
mitigation_89,0.11846246221885148,0.02360295524907885,0.03560936869745812,1.6965087982427516,0.13703185625170927
mitigation_90,0.10302253408375206,-0.02465537055751932,-0.03969298335006466,1.634359923725685,0.13853485988178024
mitigation_91,0.12121793361436803,-0.00111383677589183,-0.005324382283829476,1.7648274382811318,0.13328085185062502
mitigation_92,0.10351944375924682,-0.02597193547263077,-0.043769278249989774,1.629831309606642,0.13842328338157697
mitigation_93,0.10940592482142059,-0.013903490967704657,-0.02254339308564035,1.6921303201567324,0.137916412772316
mitigation_94,0.10542673712059403,-0.020644436144285072,-0.033404248512183266,1.644174469767592,0.13804241336858536
mitigation_95,0.09806569027475132,-0.034319477648177554,-0.05620370703199162,1.5751311589474144,0.13848246661085697
mitigation_96,0.11501564806449405,0.018850576517334294,0.02915704961315302,1.6591461113005361,0.13642183104098188
mitigation_97,0.12441461983011534,0.03001450276457862,0.04458778365789906,1.7284682583595405,0.13467315171501232
mitigation_98,0.12344274268715213,0.027966076337397117,0.040410571617648716,1.7148641312366373,0.1347316018501387
mitigation_99,0.10157757190883673,-0.029264242373886307,-0.048341398838651184,1.5986717685401375,0.13748011729182147
mitigation_100,0.11188366600670169,-0.009953318810904943,-0.017589336017264645,1.7337558481007795,0.1392297466677507
mitigation_101,0.11114559747276079,-0.012992214965626081,-0.021317045941202317,1.6849670541925956,0.13576799885622717
mitigation_102,0.09636468042778953,-0.03929106925465492,-0.06640346154021937,1.5637688376621701,0.13925005657077053
mitigation_103,0.09924495187199958,-0.032693874250179555,-0.05274268561377948,1.576377946951426,0.13696984934209086
mitigation_104,0.10666375748768747,-0.018821484818556444,-0.03079319634264932,1.6647902306832785,0.13827591723135554
mitigation_105,0.11246822341877363,0.013897185223918196,0.02002934252339761,1.6319927525798639,0.13619760266963127
mitigation_106,0.0976846820031683,-0.0343012013346774,-0.055867597988879636,1.584392892753068,0.13916366379666692
mitigation_107,0.09053157696514746,-0.04316198041175273,-0.06866172891477784,1.532691968080288,0.14131309396130362
