,acc,prec,rec,f1
mitigation_1,0.8412886414781475,0.8143877076613131,0.7908939161591644,0.8009982015008554
mitigation_2,0.8425914959137747,0.8112635608780407,0.8041910243324331,0.8075668525615185
mitigation_3,0.8379722847329149,0.804167037080519,0.8040221621521894,0.8040945278067141
mitigation_4,0.8361956650479687,0.8012126491134228,0.8063373613356276,0.8036813786063599
mitigation_5,0.8327608669904063,0.7967021061051789,0.8059341134298035,0.8010000146894058
mitigation_6,0.8322871017410873,0.7958524453968632,0.8100027118336879,0.8021539430638085
mitigation_7,0.8257728295629515,0.7885121262752841,0.8092092054205201,0.7970554504936846
mitigation_8,0.8251806230013029,0.7879040473855033,0.8093859019377062,0.7966814378465116
mitigation_9,0.8225749141300486,0.7855868656376827,0.8119484762452052,0.7956437373493344
mitigation_10,0.8244699751273245,0.7877622124864583,0.814834259345177,0.7980261697492854
mitigation_11,0.8215089423190809,0.7849465788895718,0.814170646916812,0.7955989355067912
mitigation_12,0.8123889612696908,0.7766044822345302,0.8104653786067118,0.7876263566226306
mitigation_13,0.8164159658889021,0.7806535082695987,0.8141431419503171,0.7918022923201358
mitigation_14,0.8149946701409452,0.779530908194854,0.814091184356396,0.7907290708219843
mitigation_15,0.8114414307710529,0.7762908411346114,0.8119381661221294,0.7874037348408036
mitigation_16,0.8081250740258202,0.7739724228144383,0.811975608148036,0.7849620902543994
mitigation_17,0.8051640412175767,0.7719829126160282,0.811788024954839,0.782711652924391
mitigation_18,0.8042165107189387,0.7712823620265076,0.8114757028383769,0.7819135435123241
mitigation_19,0.8056378064668956,0.7722328578411768,0.8116466677410901,0.783018410063976
mitigation_20,0.8031505389079711,0.7707991654245987,0.811912763878104,0.7812585463746162
mitigation_21,0.8044533933435982,0.7711493346546118,0.8106909803787505,0.7818449537124164
mitigation_22,0.8009001539737061,0.7684601625091372,0.8092520059972359,0.7787763106081771
mitigation_23,0.8024398910339926,0.7703711439282592,0.8118867850811434,0.7807238347922758
mitigation_24,0.7997157408504086,0.7677732201201788,0.8092483771052321,0.7779019666075286
mitigation_25,0.7990050929764302,0.767266319800141,0.8089843836906876,0.7772969098535305
mitigation_26,0.7953334122942082,0.7654216182330662,0.8092468509356979,0.7746655546288574
mitigation_27,0.7973469146038138,0.7668161521350153,0.8100741704827688,0.7764030237314288
mitigation_28,0.7968731493544948,0.7667850544179675,0.8105725496228937,0.7762014073191744
mitigation_29,0.7920170555489755,0.7632312043119596,0.8079752125648927,0.7718358424262018
mitigation_30,0.7941489991709109,0.7652688951566087,0.8101952805140302,0.774069761856079
mitigation_31,0.7921354968613052,0.7641124139129332,0.8097249828933353,0.7724380840843227
mitigation_32,0.7968731493544948,0.7672552354604798,0.8116436154020215,0.7765193651772608
mitigation_33,0.791780172924316,0.7636608185388695,0.809116956950895,0.7719968700018496
mitigation_34,0.7932014686722729,0.7646213494503243,0.8097639510887762,0.7732402097277765
mitigation_35,0.7928461447352837,0.7640048359386697,0.80879890321996,0.7726926458852559
mitigation_36,0.7950965296695487,0.7648622025904244,0.8082464637634446,0.7741902200725466
mitigation_37,0.7930830273599432,0.7649758375841287,0.8106323415537573,0.7734061940017456
mitigation_38,0.7943858817955703,0.7649709833761371,0.8092915507456118,0.7739779928040824
mitigation_39,0.7921354968613052,0.7637728385454663,0.8090109390405833,0.7722290415752039
mitigation_40,0.7933199099846027,0.7637325033925538,0.8077054875358751,0.7727172137877775
mitigation_41,0.794978088357219,0.7659351723020325,0.8107809565515134,0.7748574017680374
mitigation_42,0.7933199099846027,0.7642746874623882,0.8088955606237951,0.7730717711765485
mitigation_43,0.792727703422954,0.7646944612710552,0.8103813375376929,0.7730690910064939
mitigation_44,0.7921354968613052,0.7643982257341368,0.8103200194372953,0.7726112255999222
mitigation_45,0.7916617316119863,0.7636811042178012,0.8092713035631243,0.7719542088410672
mitigation_46,0.7865687551818075,0.760615176765046,0.8074586889647497,0.7676533126388724
mitigation_47,0.7905957598010186,0.7624396381360277,0.8076852403533876,0.7706999238698918
mitigation_48,0.7911879663626673,0.7637696901002777,0.8098886900120411,0.771782139697917
mitigation_49,0.7901219945516996,0.7627021138534296,0.8086596487286803,0.7706344148611155
mitigation_50,0.7900035532393699,0.762844315135617,0.8090520099584937,0.7706604422466651
mitigation_51,0.7921354968613052,0.7638291771741468,0.8091299463493753,0.7722639786636627
mitigation_52,0.7907142011133483,0.7636337507790987,0.81003004722579,0.7714708746544153
mitigation_53,0.7946227644202297,0.7659233672893777,0.8111249890794091,0.7746943910973998
mitigation_54,0.7920170555489755,0.7635662800399056,0.8086892564176447,0.77204674937201
mitigation_55,0.7902404358640294,0.7633834774214991,0.8099333898219551,0.7710907774749225
mitigation_56,0.7871609617434561,0.7607631559437171,0.8072819924475636,0.7680411985768266
mitigation_57,0.7884638161790832,0.7618280080872315,0.8083213478152578,0.7693069170605078
mitigation_58,0.7900035532393699,0.7630215033365257,0.8094090318848696,0.7707636534770278
mitigation_59,0.7882269335544237,0.7616450628073632,0.8081540118045483,0.7690829486878734
mitigation_60,0.7884638161790832,0.7617079517582455,0.8080833331976738,0.7692381454329984
mitigation_61,0.786331872557148,0.7600653056687126,0.8065773091012882,0.7672238071588928
mitigation_62,0.7910695250503376,0.7633291764953348,0.8090909781539345,0.7714624791233559
mitigation_63,0.7910695250503376,0.7640873578107923,0.8106380731682303,0.771910199085892
mitigation_64,0.7878716096174345,0.760950112650119,0.8070699566269401,0.7685056930872876
mitigation_65,0.7862134312448182,0.7599132693588255,0.8063746337871416,0.7670775482776455
mitigation_66,0.791306407674997,0.7634581043034949,0.809139306855852,0.7716522135814794
mitigation_67,0.7903588771763591,0.7624244615655196,0.8078749262690541,0.770580542401083
mitigation_68,0.7891744640530617,0.7615519730779721,0.8071572535242986,0.7694944151798149
mitigation_69,0.7903588771763591,0.7634162160279774,0.8098980505185178,0.771168671457716
mitigation_70,0.7911879663626673,0.7639447491367053,0.810245711938417,0.7718853429762712
mitigation_71,0.7900035532393699,0.7623763139744847,0.8080999514881577,0.7703835176124514
mitigation_72,0.7914248489873268,0.7633229144791991,0.8087469456260388,0.771625231995925
mitigation_73,0.7909510837380078,0.7637597377577652,0.8100783759277075,0.7716609262525943
mitigation_74,0.7869240791187966,0.7607031137178144,0.807352671054438,0.7678861326127477
mitigation_75,0.7890560227407319,0.7627071107347381,0.8095727390035754,0.7701064967531042
mitigation_76,0.7873978443681156,0.7610669582802365,0.807687343075857,0.7683336883570488
mitigation_77,0.7894113466777212,0.7626809134938718,0.8092287064756798,0.7702717931578226
mitigation_78,0.7894113466777212,0.762324113435746,0.8085146626229278,0.7700654810766208
mitigation_79,0.7914248489873268,0.7634369712452245,0.8089849602436228,0.7716949185725523
mitigation_80,0.7916617316119863,0.7637382455400241,0.8093903108719163,0.7719889546217359
mitigation_81,0.7900035532393699,0.7619721734097642,0.8072669003266139,0.7701391769614623
mitigation_82,0.7910695250503376,0.7639108506469681,0.8102810512418543,0.7718074544210983
mitigation_83,0.7864503138694777,0.7604629982827127,0.807256013650603,0.7675072643627834
mitigation_84,0.7900035532393699,0.762087132268562,0.8075049149441977,0.77020918272071
mitigation_85,0.7896482293023807,0.7632241099359391,0.8101100863391413,0.7707008847305682
mitigation_86,0.7898851119270401,0.7629294270754057,0.8093253638795148,0.7706515385118575
mitigation_87,0.7896482293023807,0.7629241539277785,0.8095150497951813,0.7705302050890286
mitigation_88,0.787634726992775,0.7613707874453078,0.8080926937041505,0.7686260631921431
mitigation_89,0.7890560227407319,0.7621072704560198,0.8083826659156557,0.7697637919598768
mitigation_90,0.7914248489873268,0.7637239100126567,0.8095799967875827,0.7718684590423418
mitigation_91,0.7850290181215208,0.7591304570258228,0.805775968351178,0.7660287293707118
mitigation_92,0.787634726992775,0.7610674422142958,0.8074976571601906,0.7684544243473577
mitigation_93,0.7932014686722729,0.7643996430422817,0.8092879218536082,0.7731000962303914
mitigation_94,0.7896482293023807,0.7627454094447292,0.8091580278688053,0.7704273378651478
mitigation_95,0.7896482293023807,0.7627454094447292,0.8091580278688053,0.7704273378651478
mitigation_96,0.7915432902996565,0.7632464829170256,0.8084735917050176,0.771632661843084
